mm x kg/m,Massa Linear (Kg/m),d (Altura do perfil mm),bf (mm),tw Espessura da Alma (mm),tf Espessura da Mesa (mm),h (Distância entre mesas mm),d' (Altura Livre da Alma-mm),Área(cm²),Ix (cm⁴),Wx (cm³),rx (cm),Zx (cm³),Iy (cm⁴),Wy (cm³),ry (cm),Zy (cm³),rt (cm),It (cm⁴),Esbeltez da Mesa (bf/2tf),Esbeltez da Alma (d'/tw),Cw (cm⁶),u (Área de pintura - m²/m)
HSS88.9X63.5X3.2,"7,07",0,0,0,0,0,0,"8,39","92,9","20,9","3,32","25,3","55,3","17,4","2,56","20,1","0,00",111,#DIV/0!,#DIV/0!,0,0
HSS88.9X50.8X6.4,"11,8",0,0,0,0,0,0,"14,3",132,"29,7","3,05","38,7","54,1","21,3","1,95","25,9","0,00",132,#DIV/0!,#DIV/0!,0,0
HSS88.9X50.8X4.8,"9,27",0,0,0,0,0,0,11,109,"24,4","3,12",31,45,"17,7","2,01","20,8","0,00",106,#DIV/0!,#DIV/0!,0,0
HSS88.9X50.8X3.2,"6,43",0,0,0,0,0,0,"7,68","79,1","17,9","3,23",22,"33,1",13,"2,08","14,9","0,00","76,2",#DIV/0!,#DIV/0!,0,0
HSS88.9X38.1X6.4,"10,5",0,0,0,0,0,0,"12,7",106,"23,9","2,9","32,4","26,6","13,9","1,45","17,4","0,00","74,5",#DIV/0!,#DIV/0!,0,0
HSS88.9X38.1X4.8,"8,31",0,0,0,0,0,0,"9,94","88,2","19,8","2,97","26,2","22,6","11,9","1,51","14,2","0,00",62,#DIV/0!,#DIV/0!,0,0
HSS88.9X38.1X3.2,"5,8",0,0,0,0,0,0,"6,9","65,3","14,7","3,07","18,8","17,1","8,98","1,57","10,3","0,00","45,4",#DIV/0!,#DIV/0!,0,0
HSS76.2X76.2X9.5,18,0,0,0,0,0,0,"21,9",157,"41,3","2,69","53,3",157,"41,3","2,69","53,3","0,00",276,#DIV/0!,#DIV/0!,0,0
HSS76.2X76.2X7.9,"15,7",0,0,0,0,0,0,19,144,"37,7","2,74","47,5",144,"37,7","2,74","47,5","0,00",247,#DIV/0!,#DIV/0!,0,0
HSS76.2X76.2X6.4,"13,1",0,0,0,0,0,0,"15,7",126,"32,9","2,82","40,6",126,"32,9","2,82","40,6","0,00",211,#DIV/0!,#DIV/0!,0,0
HSS76.2X76.2X4.8,"10,2",0,0,0,0,0,0,"12,2",102,"26,9","2,9","32,3",102,"26,9","2,9","32,3","0,00",168,#DIV/0!,#DIV/0!,0,0
HSS76.2X76.2X3.2,"7,06",0,0,0,0,0,0,"8,39","74,1","19,5","2,97","22,9","74,1","19,5","2,97","22,9","0,00",118,#DIV/0!,#DIV/0!,0,0
HSS76.2X63.5X7.9,"14,1",0,0,0,0,0,0,17,122,"31,8","2,67","41,1","90,7","28,5","2,31","36,1","0,00",181,#DIV/0!,#DIV/0!,0,0
HSS76.2X63.5X6.4,"11,8",0,0,0,0,0,0,"14,3",107,"28,2","2,74","35,4","80,3","25,2","2,37","31,1","0,00",156,#DIV/0!,#DIV/0!,0,0
HSS76.2X63.5X4.8,"9,27",0,0,0,0,0,0,11,"87,8","23,1","2,82","28,3","66,2","20,8","2,45","24,9","0,00",125,#DIV/0!,#DIV/0!,0,0
HSS76.2X63.5X3.2,"6,43",0,0,0,0,0,0,"7,68","64,1","16,9","2,9","20,2","48,3","15,3","2,51","17,9","0,00","88,7",#DIV/0!,#DIV/0!,0,0
HSS76.2X50.8X7.9,"12,5",0,0,0,0,0,0,"15,2","99,1","26,1","2,57","34,6","51,6","20,3","1,84","25,9","0,00",119,#DIV/0!,#DIV/0!,0,0
HSS76.2X50.8X6.4,"10,5",0,0,0,0,0,0,"12,7","88,7","23,3","2,64",30,"46,2","18,2","1,91","22,6","0,00",105,#DIV/0!,#DIV/0!,0,0
HSS76.2X50.8X4.8,"8,31",0,0,0,0,0,0,"9,94","73,7","19,3","2,72","24,3","38,8","15,3","1,98","18,4","0,00","85,3",#DIV/0!,#DIV/0!,0,0
HSS76.2X50.8X3.2,"5,8",0,0,0,0,0,0,"6,9","54,1","14,2","2,79","17,4","28,8","11,3","2,04","13,2","0,00","61,2",#DIV/0!,#DIV/0!,0,0
HSS76.2X38.1X6.4,"9,26",0,0,0,0,0,0,"11,2","69,9","18,4","2,49","24,7","22,6","11,9","1,42","14,9","0,00","59,9",#DIV/0!,#DIV/0!,0,0
HSS76.2X38.1X4.8,"7,36",0,0,0,0,0,0,"8,84","59,1","15,5","2,59","20,3","19,4","10,2","1,48","12,3","0,00","50,4",#DIV/0!,#DIV/0!,0,0
HSS76.2X38.1X3.2,"5,16",0,0,0,0,0,0,"6,17","44,1","11,6","2,67","14,7","14,8","7,77","1,55","9,01","0,00","36,9",#DIV/0!,#DIV/0!,0,0
HSS76.2X25.4X4.8,"6,41",0,0,0,0,0,0,"7,68","44,5","11,7","2,41","16,2","7,2","5,65",965,"7,08","0,00","21,9",#DIV/0!,#DIV/0!,0,0
HSS76.2X25.4X3.2,"4,53",0,0,0,0,0,0,"5,42",34,"8,93","2,51","11,9","5,74","4,52","1,03","5,33","0,00",17,#DIV/0!,#DIV/0!,0,0
HSS63.5X63.5X7.9,"12,5",0,0,0,0,0,0,"15,2","75,8","23,9","2,24","30,8","75,8","23,9","2,24","30,8","0,00",133,#DIV/0!,#DIV/0!,0,0
HSS63.5X63.5X6.4,"10,5",0,0,0,0,0,0,"12,7","67,8","21,3","2,31","26,7","67,8","21,3","2,31","26,7","0,00",116,#DIV/0!,#DIV/0!,0,0
HSS63.5X63.5X4.8,"8,3",0,0,0,0,0,0,"9,94","56,2","17,7","2,38","21,6","56,2","17,7","2,38","21,6","0,00","93,7",#DIV/0!,#DIV/0!,0,0
HSS63.5X63.5X3.2,"5,8",0,0,0,0,0,0,"6,9","41,5","13,1","2,45","15,5","41,5","13,1","2,45","15,5","0,00",67,#DIV/0!,#DIV/0!,0,0
HSS63.5X50.8X6.4,"9,26",0,0,0,0,0,0,"11,2","55,4","17,4","2,22","22,5","38,7","15,2","1,86","19,2","0,00","79,1",#DIV/0!,#DIV/0!,0,0
HSS63.5X50.8X4.8,"7,36",0,0,0,0,0,0,"8,84","46,6","14,7","2,3","18,4","32,7","12,9","1,93","15,7","0,00","64,5",#DIV/0!,#DIV/0!,0,0
HSS63.5X50.8X3.2,"5,16",0,0,0,0,0,0,"6,17","34,7","10,9","2,37","13,3","24,5","9,65","1,99","11,4","0,00","46,6",#DIV/0!,#DIV/0!,0,0
HSS63.5X38.1X6.4,8,0,0,0,0,0,0,"9,74","42,9","13,5","2,1","18,2","18,7","9,82","1,39","12,5","0,00","45,8",#DIV/0!,#DIV/0!,0,0
HSS63.5X38.1X4.8,"6,41",0,0,0,0,0,0,"7,68","36,7","11,6","2,18",15,"16,2","8,52","1,45","10,4","0,00","38,7",#DIV/0!,#DIV/0!,0,0
HSS63.5X38.1X3.2,"4,53",0,0,0,0,0,0,"5,42","27,8","8,77","2,27",11,"12,5","6,54","1,52","7,69","0,00","28,6",#DIV/0!,#DIV/0!,0,0
HSS63.5X25.4X4.8,"5,46",0,0,0,0,0,0,"6,58","26,9","8,47","2,02","11,7","5,95","4,67","0,95","5,9","0,00","17,1",#DIV/0!,#DIV/0!,0,0
HSS63.5X25.4X3.2,"3,9",0,0,0,0,0,0,"4,67","20,9","6,6","2,12","8,72","4,79","3,77","1,01","4,49","0,00","13,4",#DIV/0!,#DIV/0!,0,0
HSS57.2X57.2X6.4,"9,26",0,0,0,0,0,0,"11,2",47,"16,6","2,05",21,47,"16,6","2,05",21,"0,00","81,6",#DIV/0!,#DIV/0!,0,0
HSS57.2X57.2X4.8,"7,35",0,0,0,0,0,0,"8,84","39,7","13,9","2,12",17,"39,7","13,9","2,12",17,"0,00","66,6",#DIV/0!,#DIV/0!,0,0
HSS57.2X57.2X3.2,"5,16",0,0,0,0,0,0,"6,17","29,6","10,4","2,19","12,4","29,6","10,4","2,19","12,4","0,00","47,9",#DIV/0!,#DIV/0!,0,0
HSS57.2X50.8X4.8,"6,89",0,0,0,0,0,0,"8,26","35,8","12,5","2,08","15,6","29,7","11,7","1,9","14,4","0,00","54,9",#DIV/0!,#DIV/0!,0,0
HSS57.2X50.8X3.2,"4,85",0,0,0,0,0,0,"5,79","26,9","9,41","2,15","11,4","22,4","8,82","1,97","10,5","0,00","39,8",#DIV/0!,#DIV/0!,0,0
HSS50.8X50.8X6.4,8,0,0,0,0,0,0,"9,74","31,1","12,2","1,79","15,8","31,1","12,2","1,79","15,8","0,00","54,5",#DIV/0!,#DIV/0!,0,0
HSS50.8X50.8X4.8,"6,4",0,0,0,0,0,0,"7,68","26,7","10,5","1,86","13,1","26,7","10,5","1,86","13,1","0,00","45,4",#DIV/0!,#DIV/0!,0,0
HSS50.8X50.8X3.2,"4,53",0,0,0,0,0,0,"5,42","20,2","7,96","1,93","9,57","20,2","7,96","1,93","9,57","0,00","33,1",#DIV/0!,#DIV/0!,0,0
HSS50.8X38.1X4.8,"5,46",0,0,0,0,0,0,"6,58","20,6","8,11","1,77","10,5",13,"6,83","1,41","8,54","0,00","27,6",#DIV/0!,#DIV/0!,0,0
HSS50.8X38.1X3.2,"3,9",0,0,0,0,0,0,"4,67","15,9","6,28","1,85","7,78","10,2","5,33","1,48","6,37","0,00","20,6",#DIV/0!,#DIV/0!,0,0
HSS50.8X25.4X4.8,"4,51",0,0,0,0,0,0,"5,45","14,6","5,74","1,63","7,87","4,66","3,69",927,"4,72","0,00","12,5",#DIV/0!,#DIV/0!,0,0
HSS50.8X25.4X3.2,"3,26",0,0,0,0,0,0,"3,92","11,7","4,59","1,72",6,"3,84","3,02",991,"3,65","0,00","9,91",#DIV/0!,#DIV/0!,0,0
HSS508X12.7,155,0,0,0,0,0,0,184,56600,2230,"17,6",2900,56600,2230,"17,6",2900,"0,00",113000,#DIV/0!,#DIV/0!,0,0
HSS508X9.5,117,0,0,0,0,0,0,139,43300,1700,"17,7",2210,43300,1700,"17,7",2210,"0,00",86600,#DIV/0!,#DIV/0!,0,0
HSS457.2X12.7,139,0,0,0,0,0,0,165,41000,1790,"15,7",2340,41000,1790,"15,7",2340,"0,00",82000,#DIV/0!,#DIV/0!,0,0
HSS457.2X9.5,105,0,0,0,0,0,0,125,31400,1370,"15,8",1790,31400,1370,"15,8",1790,"0,00",62900,#DIV/0!,#DIV/0!,0,0
HSS406.4X15.9,153,0,0,0,0,0,0,181,34900,1720,"13,9",2260,34900,1720,"13,9",2260,"0,00",69900,#DIV/0!,#DIV/0!,0,0
HSS406.4X12.7,123,0,0,0,0,0,0,146,28500,1400,"13,9",1840,28500,1400,"13,9",1840,"0,00",57000,#DIV/0!,#DIV/0!,0,0
HSS406.4X11.1,108,0,0,0,0,0,0,128,25200,1240,14,1620,25200,1240,14,1620,"0,00",50400,#DIV/0!,#DIV/0!,0,0
HSS406.4X9.5,"93,2",0,0,0,0,0,0,111,21900,1080,14,1400,21900,1080,14,1400,"0,00",43700,#DIV/0!,#DIV/0!,0,0
HSS406.4X7.9,"77,9",0,0,0,0,0,0,"92,9",18400,908,"14,1",1180,18400,908,"14,1",1180,"0,00",36900,#DIV/0!,#DIV/0!,0,0
HSS406.4X6.4,"62,6",0,0,0,0,0,0,"74,2",14900,734,"14,2",949,14900,734,"14,2",949,"0,00",29800,#DIV/0!,#DIV/0!,0,0
HSS355.6X15.9,133,0,0,0,0,0,0,158,23000,1290,"12,1",1720,23000,1290,"12,1",1720,"0,00",45800,#DIV/0!,#DIV/0!,0,0
HSS355.6X12.7,107,0,0,0,0,0,0,128,18900,1060,"12,2",1400,18900,1060,"12,2",1400,"0,00",37800,#DIV/0!,#DIV/0!,0,0
HSS355.6X9.5,"81,3",0,0,0,0,0,0,"96,8",14500,816,"12,3",1070,14500,816,"12,3",1070,"0,00",29100,#DIV/0!,#DIV/0!,0,0
HSS355.6X7.9,"67,9",0,0,0,0,0,0,"80,6",12300,690,"12,3",896,12300,690,"12,3",896,"0,00",24500,#DIV/0!,#DIV/0!,0,0
HSS355.6X6.4,"54,7",0,0,0,0,0,0,"65,2",9950,559,"12,4",724,9950,559,"12,4",724,"0,00",19900,#DIV/0!,#DIV/0!,0,0
HSS323.9X12.7,"97,4",0,0,0,0,0,0,115,14100,872,11,1150,14100,872,11,1150,"0,00",28200,#DIV/0!,#DIV/0!,0,0
HSS323.9X9.5,"73,8",0,0,0,0,0,0,"87,7",10900,672,"11,2",880,10900,672,"11,2",880,"0,00",21800,#DIV/0!,#DIV/0!,0,0
HSS323.9X6.4,"49,7",0,0,0,0,0,0,"59,1",7490,462,"11,3",598,7490,462,"11,3",598,"0,00",14900,#DIV/0!,#DIV/0!,0,0
HSS273.1X12.7,"81,5",0,0,0,0,0,0,"96,8",8280,606,"9,25",806,8280,606,"9,25",806,"0,00",16600,#DIV/0!,#DIV/0!,0,0
HSS273.1X9.5,"61,9",0,0,0,0,0,0,"73,5",6410,470,"9,35",619,6410,470,"9,35",619,"0,00",12900,#DIV/0!,#DIV/0!,0,0
HSS273.1X6.4,"41,8",0,0,0,0,0,0,"49,7",4410,324,"9,45",423,4410,324,"9,45",423,"0,00",8870,#DIV/0!,#DIV/0!,0,0
HSS254X15.9,"93,2",0,0,0,0,0,0,111,7950,628,"8,48",846,7950,628,"8,48",846,"0,00",15900,#DIV/0!,#DIV/0!,0,0
HSS254X12.7,"75,6",0,0,0,0,0,0,"89,7",6620,519,"8,59",693,6620,519,"8,59",693,"0,00",13200,#DIV/0!,#DIV/0!,0,0
HSS254X9.5,"57,4",0,0,0,0,0,0,"68,4",5120,405,"8,66",533,5120,405,"8,66",533,"0,00",10300,#DIV/0!,#DIV/0!,0,0
HSS254X7.9,"48,1",0,0,0,0,0,0,"57,3",4370,342,"8,71",449,4370,342,"8,71",449,"0,00",8700,#DIV/0!,#DIV/0!,0,0
HSS254X6.4,"38,8",0,0,0,0,0,0,"46,1",3550,280,"8,76",364,3550,280,"8,76",364,"0,00",7120,#DIV/0!,#DIV/0!,0,0
HSS254X4.8,"29,3",0,0,0,0,0,0,"34,6",2700,213,"8,81",275,2700,213,"8,81",275,"0,00",5410,#DIV/0!,#DIV/0!,0,0
HSS244.5X12.7,"72,6",0,0,0,0,0,0,"86,5",5870,479,"8,23",639,5870,479,"8,23",639,"0,00",11700,#DIV/0!,#DIV/0!,0,0
HSS244.5X9.5,"55,2",0,0,0,0,0,0,"65,8",4580,374,"8,33",492,4580,374,"8,33",492,"0,00",9120,#DIV/0!,#DIV/0!,0,0
HSS244.5X7.9,"46,2",0,0,0,0,0,0,55,3870,316,"8,38",416,3870,316,"8,38",416,"0,00",7740,#DIV/0!,#DIV/0!,0,0
HSS244.5X6.4,"37,3",0,0,0,0,0,0,"44,3",3160,259,"8,43",338,3160,259,"8,43",338,"0,00",6330,#DIV/0!,#DIV/0!,0,0
HSS244.5X4.8,"28,2",0,0,0,0,0,0,"33,4",2400,197,"8,48",254,2400,197,"8,48",254,"0,00",4790,#DIV/0!,#DIV/0!,0,0
HSS219.1X15.9,"79,5",0,0,0,0,0,0,"94,8",4950,454,"7,24",618,4950,454,"7,24",618,"0,00",9950,#DIV/0!,#DIV/0!,0,0
HSS219.1X12.7,"64,6",0,0,0,0,0,0,"76,8",4160,379,"7,34",508,4160,379,"7,34",508,"0,00",8280,#DIV/0!,#DIV/0!,0,0
HSS219.1X9.5,"49,2",0,0,0,0,0,0,"58,5",3240,295,"7,44",392,3240,295,"7,44",392,"0,00",6490,#DIV/0!,#DIV/0!,0,0
HSS219.1X8.2,"42,5",0,0,0,0,0,0,"50,6",2830,259,"7,49",341,2830,259,"7,49",341,"0,00",5660,#DIV/0!,#DIV/0!,0,0
HSS219.1X6.4,"33,3",0,0,0,0,0,0,"39,6",2250,205,"7,54",269,2250,205,"7,54",269,"0,00",4500,#DIV/0!,#DIV/0!,0,0
HSS219.1X4.8,"25,2",0,0,0,0,0,0,"29,8",1720,157,"7,59",203,1720,157,"7,59",203,"0,00",3430,#DIV/0!,#DIV/0!,0,0
HSS193.7X9.5,"43,2",0,0,0,0,0,0,"51,5",2200,228,"6,55",303,2200,228,"6,55",303,"0,00",4410,#DIV/0!,#DIV/0!,0,0
HSS193.7X8.3,"38,1",0,0,0,0,0,0,"45,2",1960,202,"6,58",269,1960,202,"6,58",269,"0,00",3920,#DIV/0!,#DIV/0!,0,0
HSS190.5X12.7,"55,7",0,0,0,0,0,0,"66,5",2660,279,"6,32",377,2660,279,"6,32",377,"0,00",5330,#DIV/0!,#DIV/0!,0,0
HSS190.5X9.5,"42,5",0,0,0,0,0,0,"50,6",2090,220,"6,43",293,2090,220,"6,43",293,"0,00",4160,#DIV/0!,#DIV/0!,0,0
HSS190.5X7.9,"35,7",0,0,0,0,0,0,"42,5",1790,187,"6,48",247,1790,187,"6,48",247,"0,00",3570,#DIV/0!,#DIV/0!,0,0
HSS190.5X6.4,"28,8",0,0,0,0,0,0,"34,3",1470,154,"6,53",202,1470,154,"6,53",202,"0,00",2930,#DIV/0!,#DIV/0!,0,0
HSS190.5X4.8,"21,9",0,0,0,0,0,0,"25,8",1120,117,"6,58",153,1120,117,"6,58",153,"0,00",2240,#DIV/0!,#DIV/0!,0,0
HSS177.8X12.7,"51,7",0,0,0,0,0,0,"61,6",2130,239,"5,89",326,2130,239,"5,89",326,"0,00",4250,#DIV/0!,#DIV/0!,0,0
HSS177.8X9.5,"39,5",0,0,0,0,0,0,47,1680,190,"5,97",254,1680,190,"5,97",254,"0,00",3370,#DIV/0!,#DIV/0!,0,0
HSS177.8X7.9,"33,2",0,0,0,0,0,0,"39,5",1440,162,"6,02",215,1440,162,"6,02",215,"0,00",2880,#DIV/0!,#DIV/0!,0,0
HSS177.8X6.4,"26,8",0,0,0,0,0,0,"31,9",1180,133,"6,07",175,1180,133,"6,07",175,"0,00",2360,#DIV/0!,#DIV/0!,0,0
HSS177.8X4.8,"20,4",0,0,0,0,0,0,"24,1",903,102,"6,12",133,903,102,"6,12",133,"0,00",1810,#DIV/0!,#DIV/0!,0,0
HSS177.8X3.2,"13,7",0,0,0,0,0,0,"16,2",620,"69,6","6,17","90,1",620,"69,6","6,17","90,1","0,00",1240,#DIV/0!,#DIV/0!,0,0
HSS174.6X12.7,"50,7",0,0,0,0,0,0,"60,4",2010,231,"5,77",313,2010,231,"5,77",313,"0,00",4020,#DIV/0!,#DIV/0!,0,0
HSS174.6X9.5,"38,8",0,0,0,0,0,0,"46,2",1590,182,"5,87",244,1590,182,"5,87",244,"0,00",3180,#DIV/0!,#DIV/0!,0,0
HSS174.6X7.9,"32,6",0,0,0,0,0,0,"38,8",1360,156,"5,92",206,1360,156,"5,92",206,"0,00",2720,#DIV/0!,#DIV/0!,0,0
HSS174.6X6.4,"26,3",0,0,0,0,0,0,"31,4",1120,128,"5,97",169,1120,128,"5,97",169,"0,00",2240,#DIV/0!,#DIV/0!,0,0
HSS174.6X4.8,20,0,0,0,0,0,0,"23,6",857,"98,2","6,02",128,857,"98,2","6,02",128,"0,00",1710,#DIV/0!,#DIV/0!,0,0
HSS168.3X12.7,"48,7",0,0,0,0,0,0,"58,1",1790,213,"5,54",290,1790,213,"5,54",290,"0,00",3580,#DIV/0!,#DIV/0!,0,0
HSS168.3X11,"42,6",0,0,0,0,0,0,"50,7",1590,188,"5,59",256,1590,188,"5,59",256,"0,00",3180,#DIV/0!,#DIV/0!,0,0
HSS168.3X9.5,"37,3",0,0,0,0,0,0,"44,4",1420,169,"5,64",226,1420,169,"5,64",226,"0,00",2830,#DIV/0!,#DIV/0!,0,0
HSS168.3X7.9,"31,3",0,0,0,0,0,0,"37,4",1210,144,"5,69",192,1210,144,"5,69",192,"0,00",2420,#DIV/0!,#DIV/0!,0,0
HSS168.3X7.1,"28,3",0,0,0,0,0,0,"33,5",1100,130,"5,72",172,1100,130,"5,72",172,"0,00",2190,#DIV/0!,#DIV/0!,0,0
HSS168.3X6.4,"25,4",0,0,0,0,0,0,"30,2",995,118,"5,74",156,995,118,"5,74",156,"0,00",1990,#DIV/0!,#DIV/0!,0,0
HSS168.3X4.8,"19,2",0,0,0,0,0,0,"22,8",766,"90,8","5,79",119,766,"90,8","5,79",119,"0,00",1530,#DIV/0!,#DIV/0!,0,0
HSS168.3X3.2,"12,9",0,0,0,0,0,0,"15,3",524,"62,1","5,84","80,6",524,"62,1","5,84","80,6","0,00",1040,#DIV/0!,#DIV/0!,0,0
HSS152.4X12.7,"43,7",0,0,0,0,0,0,"52,2",1300,170,"4,98",234,1300,170,"4,98",234,"0,00",2600,#DIV/0!,#DIV/0!,0,0
HSS152.4X9.5,"33,6",0,0,0,0,0,0,40,1030,136,"5,08",184,1030,136,"5,08",184,"0,00",2070,#DIV/0!,#DIV/0!,0,0
HSS152.4X7.9,"28,2",0,0,0,0,0,0,"33,7",887,117,"5,13",156,887,117,"5,13",156,"0,00",1770,#DIV/0!,#DIV/0!,0,0
HSS152.4X7.1,"25,5",0,0,0,0,0,0,"30,3",803,106,"5,16",140,803,106,"5,16",140,"0,00",1610,#DIV/0!,#DIV/0!,0,0
HSS152.4X6.4,"22,9",0,0,0,0,0,0,"27,2",733,96,"5,18",127,733,96,"5,18",127,"0,00",1470,#DIV/0!,#DIV/0!,0,0
HSS152.4X4.8,"17,4",0,0,0,0,0,0,"20,5",562,"73,9","5,23","96,8",562,"73,9","5,23","96,8","0,00",1120,#DIV/0!,#DIV/0!,0,0
HSS152.4X3.2,"11,7",0,0,0,0,0,0,"13,8",386,"50,6","5,28","65,9",386,"50,6","5,28","65,9","0,00",774,#DIV/0!,#DIV/0!,0,0
HSS141.3X12.7,"40,3",0,0,0,0,0,0,"48,1",1020,144,"4,6",198,1020,144,"4,6",198,"0,00",2030,#DIV/0!,#DIV/0!,0,0
HSS141.3X9.5,"30,9",0,0,0,0,0,0,"36,9",812,115,"4,7",156,812,115,"4,7",156,"0,00",1620,#DIV/0!,#DIV/0!,0,0
HSS141.3X6.6,"21,8",0,0,0,0,0,0,"25,9",591,"83,9","4,78",111,591,"83,9","4,78",111,"0,00",1190,#DIV/0!,#DIV/0!,0,0
HSS141.3X4.8,"16,1",0,0,0,0,0,0,19,445,"63,1","4,85","82,8",445,"63,1","4,85","82,8","0,00",891,#DIV/0!,#DIV/0!,0,0
HSS141.3X3.4,"11,6",0,0,0,0,0,0,"13,7",326,"46,2","4,88","60,1",326,"46,2","4,88","60,1","0,00",653,#DIV/0!,#DIV/0!,0,0
HSS139.7X12.7,"39,8",0,0,0,0,0,0,"47,5",978,140,"4,55",193,978,140,"4,55",193,"0,00",1960,#DIV/0!,#DIV/0!,0,0
HSS139.7X9.5,"30,6",0,0,0,0,0,0,"36,5",783,112,"4,65",152,783,112,"4,65",152,"0,00",1570,#DIV/0!,#DIV/0!,0,0
HSS139.7X6.6,"21,5",0,0,0,0,0,0,"25,6",570,"81,9","4,72",109,570,"81,9","4,72",109,"0,00",1140,#DIV/0!,#DIV/0!,0,0
HSS127X12.7,"35,8",0,0,0,0,0,0,"42,7",716,113,"4,09",157,716,113,"4,09",157,"0,00",1430,#DIV/0!,#DIV/0!,0,0
HSS127X9.5,"27,6",0,0,0,0,0,0,"32,9",579,"90,9","4,19",124,579,"90,9","4,19",124,"0,00",1150,#DIV/0!,#DIV/0!,0,0
HSS127X7.9,"23,3",0,0,0,0,0,0,"27,7",499,"78,5","4,24",106,499,"78,5","4,24",106,"0,00",999,#DIV/0!,#DIV/0!,0,0
HSS127X6.6,"19,5",0,0,0,0,0,0,"23,2",425,"66,9","4,29","89,1",425,"66,9","4,29","89,1","0,00",849,#DIV/0!,#DIV/0!,0,0
HSS127X6.4,"18,9",0,0,0,0,0,0,"22,5",414,"65,1","4,29","86,9",414,"65,1","4,29","86,9","0,00",828,#DIV/0!,#DIV/0!,0,0
HSS127X4.8,"14,4",0,0,0,0,0,0,17,320,"50,5","4,34","66,4",320,"50,5","4,34","66,4","0,00",641,#DIV/0!,#DIV/0!,0,0
HSS127X3.2,"9,69",0,0,0,0,0,0,"11,5",221,"34,7","4,39","45,4",221,"34,7","4,39","45,4","0,00",441,#DIV/0!,#DIV/0!,0,0
HSS114.3X9.5,"24,6",0,0,0,0,0,0,"29,4",411,"71,9","3,73","98,8",411,"71,9","3,73","98,8","0,00",820,#DIV/0!,#DIV/0!,0,0
HSS114.3X8.6,"22,3",0,0,0,0,0,0,"26,6",378,66,"3,76","90,1",378,66,"3,76","90,1","0,00",753,#DIV/0!,#DIV/0!,0,0
HSS114.3X6,"16,1",0,0,0,0,0,0,"19,1",283,"49,5","3,86",66,283,"49,5","3,86",66,"0,00",566,#DIV/0!,#DIV/0!,0,0
HSS114.3X4.8,"12,9",0,0,0,0,0,0,"15,2",231,"40,3","3,89","53,4",231,"40,3","3,89","53,4","0,00",462,#DIV/0!,#DIV/0!,0,0
HSS114.3X3.2,"8,7",0,0,0,0,0,0,"10,3",160,28,"3,94","36,5",160,28,"3,94","36,5","0,00",320,#DIV/0!,#DIV/0!,0,0
HSS101.6X8,"18,4",0,0,0,0,0,0,"21,9",244,48,"3,35","65,7",244,48,"3,35","65,7","0,00",487,#DIV/0!,#DIV/0!,0,0
HSS101.6X6.4,"14,9",0,0,0,0,0,0,"17,8",204,"40,1","3,38","54,2",204,"40,1","3,38","54,2","0,00",409,#DIV/0!,#DIV/0!,0,0
HSS101.6X6,"14,2",0,0,0,0,0,0,"16,8",195,"38,3","3,4","51,6",195,"38,3","3,4","51,6","0,00",390,#DIV/0!,#DIV/0!,0,0
HSS101.6X5.7,"13,6",0,0,0,0,0,0,"16,1",187,"36,9","3,4","49,5",187,"36,9","3,4","49,5","0,00",375,#DIV/0!,#DIV/0!,0,0
HSS101.6X5.6,"13,2",0,0,0,0,0,0,"15,7",184,"36,2","3,4","48,5",184,"36,2","3,4","48,5","0,00",368,#DIV/0!,#DIV/0!,0,0
HSS101.6X4.8,"11,4",0,0,0,0,0,0,"13,5",159,"31,5","3,43","41,8",159,"31,5","3,43","41,8","0,00",319,#DIV/0!,#DIV/0!,0,0
HSS101.6X3.2,"7,7",0,0,0,0,0,0,"9,16",111,22,"3,48","28,7",111,22,"3,48","28,7","0,00",222,#DIV/0!,#DIV/0!,0,0
HSS88.9X8,"15,9",0,0,0,0,0,0,"18,9",159,"35,7","2,9","49,2",159,"35,7","2,9","49,2","0,00",317,#DIV/0!,#DIV/0!,0,0
HSS88.9X7.6,"15,3",0,0,0,0,0,0,"18,2",154,"34,6","2,9","47,5",154,"34,6","2,9","47,5","0,00",307,#DIV/0!,#DIV/0!,0,0
HSS88.9X6.4,"12,9",0,0,0,0,0,0,"15,4",134,30,"2,95","40,8",134,30,"2,95","40,8","0,00",267,#DIV/0!,#DIV/0!,0,0
HSS88.9X5.5,"11,3",0,0,0,0,0,0,"13,4",118,"26,7","2,97","35,9",118,"26,7","2,97","35,9","0,00",237,#DIV/0!,#DIV/0!,0,0
HSS88.9X5.2,"10,6",0,0,0,0,0,0,"12,7",112,"25,2","2,97","33,9",112,"25,2","2,97","33,9","0,00",225,#DIV/0!,#DIV/0!,0,0
HSS88.9X4.8,"9,9",0,0,0,0,0,0,"11,7",105,"23,6",3,"31,6",105,"23,6",3,"31,6","0,00",210,#DIV/0!,#DIV/0!,0,0
HSS88.9X3.2,"6,71",0,0,0,0,0,0,"7,94","73,7","16,6","3,05","21,8","73,7","16,6","3,05","21,8","0,00",147,#DIV/0!,#DIV/0!,0,0
HSS76.2X6.4,"10,9",0,0,0,0,0,0,"13,1","81,2","21,3","2,49","29,3","81,2","21,3","2,49","29,3","0,00",162,#DIV/0!,#DIV/0!,0,0
