Perfis,Massa Linear (Kg/m),d (Altura do perfil mm),bf (mm),D (mm),tw Espessura da Alma (mm),h (Distância entre mesas mm),d' (Altura Livre da Alma-mm),Área(cm²),Ix (cm⁴),Wx (cm³),rx (cm),Iy (cm⁴),Wy (cm³),ry (cm),It (cm⁴),Esbeltez da Alma (h/tw),Cw (cm⁶),u (Área de pintura - m²/m),xg,x0,r0,bf/bw,bw/t,D/bw,D/bw_min,Verificação
"100 x 50 x 17 x 1,5","2,63921514073209",100,50,17,"1,5",94,94,"3,36205750411731","54,2465292175813","10,8493058435163","4,01682960866767","12,3337804233883","3,83743167816063","1,91533849622315","0,02521543128088","62,6666666666667","299,848239643495","227,137166941154","1,78592833493777","4,24467771966327","6,14985614498334","0,5","66,6666666666667","0,17","0,1859",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
100 x 50 x 17 x 2,"3,46733802796816",100,50,17,2,92,92,"4,41699111843078","70,2619123089528","14,0523824617906","3,98838174570304","15,7632333659079","4,89962848358192","1,88911931991883","0,05889321491241",46,"381,649419946557","224,849555921539","1,78276966942929","4,18378360252475","6,08111881047417","0,5",50,"0,17","0,2598",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"100 x 50 x 17 x 2,25","3,8717215666472",100,50,17,"2,25",91,91,"4,93212938426395","77,8922594028533","15,5784518805707","3,97401882741632","17,3558960972929","5,39196359430021","1,87588534388805","0,083229683359454","40,4444444444444","419,429874968604","223,705750411731","1,78115480682405","4,15330633049349","6,04662922122654","0,5","44,4444444444444","0,17","0,2598",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"100 x 50 x 17 x 2,65","4,5053152003516",100,50,17,"2,65","89,4","89,4","5,73925503229503","89,5847457543774","17,9169491508755","3,95083844248266","19,7389594777981","6,12729543980413","1,85453214689477","0,134346394880973","33,7358490566038","475,742381694572","221,875661596039","1,77852003845451","4,10449930147934","5,99127101693032","0,5","37,7358490566038","0,17","0,2598",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
100 x 50 x 17 x 3,"5,04616056292836",100,50,17,3,88,88,"6,42823001646924","99,300929202713","19,8601858405426","3,93034751779213","21,6609088714172","6,71898088600097","1,83566164386289","0,192846900494077","29,3333333333333","521,002151077217","220,274333882308","1,77616155799047","4,06174795974577","5,94264938978089","0,5","33,3333333333333","0,17","0,2598",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"100 x 50 x 17 x 3,35","5,57436012971817",100,50,17,"3,35","86,6","86,6","7,10109570664734","108,543128556856","21,7086257113712","3,90965544096647","23,4341452519706","7,26359048811556","1,8166107328474","0,265640155226166","25,8507462686567","562,67810929701","218,673006168577","1,77375186688832","4,01895295823086","5,8938495995612","0,5","29,8507462686567","0,17","0,2598",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
125 x 50 x 17 x 2,"3,85983802796816",125,50,17,2,117,117,"4,91699111843078","118,344106300285","18,9350570080456","4,90595550773305","17,0351143016417","5,02755723742502","1,86132758665087","0,065559881579077","58,5","594,417188963552","249,849555921539","1,61165184260206","3,86941005504754","6,51960689020333","0,4","62,5","0,136","0,1994",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"125 x 50 x 17 x 2,25","4,3132840666472",125,50,17,"2,25",116,116,"5,49462938426395","131,404849195517","21,0247758712827","4,89031116765203","18,7617869039639","5,5349894187974","1,84785503356067","0,092721870859454","51,5555555555556","654,384205697632","248,705750411731","1,61033012271949","3,83958238324333","6,48630128958178","0,4","55,5555555555556","0,136","0,2256",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"125 x 50 x 17 x 2,65","5,0253777003516",125,50,17,"2,65","114,4","114,4","6,40175503229503","151,52170464346","24,2434727429536","4,86505660902207","21,3481689885725","6,29401210310814","1,82612621147655","0,149854415714306","43,1698113207547","744,302376919848","246,875661596039","1,6081779572635","3,79183468780765","6,43284719614047","0,4","47,1698113207547","0,136","0,25",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
125 x 50 x 17 x 3,"5,63491056292836",125,50,17,3,113,113,"7,17823001646924","168,34384162016","26,9350146592256","4,84272637925883","23,4369895170939","6,90593914114788","1,80693374106475","0,215346900494077","37,6666666666667","817,109488597397","245,274333882308","1,60625600109209","3,75003100758288","6,38590172855805","0,4","41,6666666666667","0,136","0,25",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
